site,location,date,column_position,temp_c,category,,,,,,,
AQUE,outside,38210,bottom,15.23222222,outside_bottom,,MOHK,outside,38436,bottom,12.15888889,outside_bottom
AQUE,outside,38211,bottom,13.82611111,outside_bottom,,MOHK,outside,38437,bottom,12.44388889,outside_bottom
AQUE,outside,38212,bottom,13.84791667,outside_bottom,,MOHK,outside,38438,bottom,12.92569444,outside_bottom
AQUE,outside,38213,bottom,13.71597222,outside_bottom,,MOHK,outside,38439,bottom,12.32472222,outside_bottom
AQUE,outside,38214,bottom,13.96972222,outside_bottom,,MOHK,outside,38440,bottom,11.26722222,outside_bottom
AQUE,outside,38215,bottom,14.175,outside_bottom,,MOHK,outside,38441,bottom,11.14236111,outside_bottom
AQUE,outside,38216,bottom,14.87875,outside_bottom,,MOHK,outside,38442,bottom,11.56527778,outside_bottom
AQUE,outside,38217,bottom,15.27152778,outside_bottom,,MOHK,outside,38443,bottom,11.70097222,outside_bottom
AQUE,outside,38218,bottom,15.13111111,outside_bottom,,MOHK,outside,38444,bottom,12.40708333,outside_bottom
AQUE,outside,38219,bottom,15.59055556,outside_bottom,,MOHK,outside,38445,bottom,12.74397059,outside_bottom
AQUE,outside,38220,bottom,15.62527778,outside_bottom,,MOHK,outside,38446,bottom,12.28458333,outside_bottom
AQUE,outside,38221,bottom,15.56638889,outside_bottom,,MOHK,outside,38447,bottom,11.48708333,outside_bottom
AQUE,outside,38222,bottom,15.47291667,outside_bottom,,MOHK,outside,38448,bottom,11.51388889,outside_bottom
AQUE,outside,38223,bottom,15.47527778,outside_bottom,,MOHK,outside,38449,bottom,11.70402778,outside_bottom
AQUE,outside,38224,bottom,15.29180556,outside_bottom,,MOHK,outside,38450,bottom,10.76194444,outside_bottom
AQUE,outside,38225,bottom,15.32222222,outside_bottom,,MOHK,outside,38451,bottom,10.06152778,outside_bottom
AQUE,outside,38226,bottom,15.16013889,outside_bottom,,MOHK,outside,38452,bottom,10.48375,outside_bottom
AQUE,outside,38227,bottom,15.61583333,outside_bottom,,MOHK,outside,38453,bottom,10.84111111,outside_bottom
AQUE,outside,38228,bottom,15.64861111,outside_bottom,,MOHK,outside,38454,bottom,11.33569444,outside_bottom
AQUE,outside,38229,bottom,16.22722222,outside_bottom,,MOHK,outside,38484,bottom,11.62652778,outside_bottom
AQUE,outside,38230,bottom,16.26041667,outside_bottom,,MOHK,outside,38485,bottom,11.66,outside_bottom
AQUE,outside,38231,bottom,14.93361111,outside_bottom,,MOHK,outside,38486,bottom,11.78,outside_bottom
AQUE,outside,38232,bottom,14.46402778,outside_bottom,,MOHK,outside,38487,bottom,12.17222222,outside_bottom
AQUE,outside,38233,bottom,15.43236111,outside_bottom,,MOHK,outside,38488,bottom,12.28333333,outside_bottom
AQUE,outside,38234,bottom,14.67097222,outside_bottom,,MOHK,outside,38489,bottom,12.05736111,outside_bottom
AQUE,outside,38235,bottom,15.56597222,outside_bottom,,MOHK,outside,38490,bottom,12.32958333,outside_bottom
AQUE,outside,38236,bottom,17.22486111,outside_bottom,,MOHK,outside,38491,bottom,11.99722222,outside_bottom
AQUE,outside,38237,bottom,17.00847222,outside_bottom,,MOHK,outside,38492,bottom,11.71444444,outside_bottom
AQUE,outside,38238,bottom,18.05972222,outside_bottom,,MOHK,outside,38493,bottom,11.88597222,outside_bottom
AQUE,outside,38239,bottom,18.49375,outside_bottom,,MOHK,outside,38494,bottom,11.51277778,outside_bottom
AQUE,outside,38240,bottom,18.74763889,outside_bottom,,MOHK,outside,38495,bottom,11.9975,outside_bottom
AQUE,outside,38241,bottom,17.95694444,outside_bottom,,MOHK,outside,38496,bottom,12.03055556,outside_bottom
AQUE,outside,38242,bottom,17.58263889,outside_bottom,,MOHK,outside,38497,bottom,12.52569444,outside_bottom
AQUE,outside,38243,bottom,17.04930556,outside_bottom,,MOHK,outside,38498,bottom,12.72805556,outside_bottom
AQUE,outside,38244,bottom,17.82208333,outside_bottom,,MOHK,outside,38499,bottom,13.09916667,outside_bottom
AQUE,outside,38245,bottom,16.245,outside_bottom,,MOHK,outside,38500,bottom,12.70930556,outside_bottom
AQUE,outside,38246,bottom,17.05805556,outside_bottom,,MOHK,outside,38501,bottom,13.0475,outside_bottom
AQUE,outside,38247,bottom,18.08611111,outside_bottom,,MOHK,outside,38502,bottom,13.36430556,outside_bottom
AQUE,outside,38248,bottom,16.96194444,outside_bottom,,MOHK,outside,38511,bottom,13.04055556,outside_bottom
AQUE,outside,38249,bottom,14.59625,outside_bottom,,MOHK,outside,38512,bottom,12.47486111,outside_bottom
AQUE,outside,38250,bottom,12.25402778,outside_bottom,,MOHK,outside,38513,bottom,13.23138889,outside_bottom
AQUE,outside,38251,bottom,12.54097222,outside_bottom,,MOHK,outside,38514,bottom,13.32625,outside_bottom
AQUE,outside,38252,bottom,15.37583333,outside_bottom,,MOHK,outside,38515,bottom,13.40888889,outside_bottom
AQUE,outside,38253,bottom,15.24916667,outside_bottom,,MOHK,outside,38516,bottom,12.94166667,outside_bottom
AQUE,outside,38254,bottom,14.75555556,outside_bottom,,MOHK,outside,38517,bottom,13.53930556,outside_bottom
AQUE,outside,38255,bottom,15.81527778,outside_bottom,,MOHK,outside,38518,bottom,13.91916667,outside_bottom
AQUE,outside,38256,bottom,16.99777778,outside_bottom,,MOHK,outside,38519,bottom,13.34111111,outside_bottom
AQUE,outside,38257,bottom,15.55472222,outside_bottom,,MOHK,outside,38520,bottom,13.73361111,outside_bottom
AQUE,outside,38258,bottom,15.25430556,outside_bottom,,MOHK,outside,38521,bottom,13.37708333,outside_bottom
AQUE,outside,38259,bottom,15.31680556,outside_bottom,,MOHK,outside,38522,bottom,13.85791667,outside_bottom
AQUE,outside,38260,bottom,15.52375,outside_bottom,,MOHK,outside,38523,bottom,13.89819444,outside_bottom
AQUE,outside,38261,bottom,16.09472222,outside_bottom,,MOHK,outside,38524,bottom,13.57638889,outside_bottom
AQUE,outside,38262,bottom,16.13722222,outside_bottom,,MOHK,outside,38525,bottom,12.79111111,outside_bottom
AQUE,outside,38263,bottom,15.49694444,outside_bottom,,MOHK,outside,38526,bottom,13.52222222,outside_bottom
AQUE,outside,38264,bottom,14.97305556,outside_bottom,,MOHK,outside,38527,bottom,13.29277778,outside_bottom
AQUE,outside,38265,bottom,16.09083333,outside_bottom,,MOHK,outside,38528,bottom,12.58694444,outside_bottom
AQUE,outside,38266,bottom,15.77777778,outside_bottom,,MOHK,outside,38529,bottom,12.45666667,outside_bottom
AQUE,outside,38267,bottom,16.04222222,outside_bottom,,MOHK,outside,38535,bottom,12.55805556,outside_bottom
AQUE,outside,38268,bottom,17.32041667,outside_bottom,,MOHK,outside,38536,bottom,12.46736111,outside_bottom
AQUE,outside,38269,bottom,16.87041667,outside_bottom,,MOHK,outside,38537,bottom,12.30722222,outside_bottom
AQUE,outside,38270,bottom,15.81416667,outside_bottom,,MOHK,outside,38538,bottom,12.61486111,outside_bottom
AQUE,outside,38271,bottom,16.93361111,outside_bottom,,MOHK,outside,38539,bottom,13.41319444,outside_bottom
AQUE,outside,38272,bottom,16.66194444,outside_bottom,,MOHK,outside,38540,bottom,12.96847222,outside_bottom
AQUE,outside,38273,bottom,16.64777778,outside_bottom,,MOHK,outside,38541,bottom,12.3625,outside_bottom
AQUE,outside,38274,bottom,17.17361111,outside_bottom,,MOHK,outside,38542,bottom,12.55527778,outside_bottom
AQUE,outside,38275,bottom,17.25319444,outside_bottom,,MOHK,outside,38543,bottom,13.3925,outside_bottom
AQUE,outside,38276,bottom,16.42097222,outside_bottom,,MOHK,outside,38544,bottom,14.32638889,outside_bottom
AQUE,outside,38277,bottom,17.86805556,outside_bottom,,MOHK,outside,38545,bottom,13.86041667,outside_bottom
AQUE,outside,38278,bottom,16.98944444,outside_bottom,,MOHK,outside,38546,bottom,13.85347222,outside_bottom
AQUE,outside,38279,bottom,17.34986111,outside_bottom,,MOHK,outside,38547,bottom,13.52791667,outside_bottom
AQUE,outside,38280,bottom,17.62888889,outside_bottom,,MOHK,outside,38548,bottom,13.30597222,outside_bottom
AQUE,outside,38281,bottom,17.17236111,outside_bottom,,MOHK,outside,38549,bottom,13.30166667,outside_bottom
AQUE,outside,38282,bottom,17.39,outside_bottom,,MOHK,outside,38550,bottom,12.84694444,outside_bottom
AQUE,outside,38283,bottom,17.48916667,outside_bottom,,MOHK,outside,38551,bottom,13.2525,outside_bottom
AQUE,outside,38284,bottom,17.70402778,outside_bottom,,MOHK,outside,38552,bottom,13.86291667,outside_bottom
AQUE,outside,38285,bottom,17.61138889,outside_bottom,,MOHK,outside,38553,bottom,14.18916667,outside_bottom
AQUE,outside,38286,bottom,16.94097222,outside_bottom,,MOHK,outside,38554,bottom,14.92458333,outside_bottom
AQUE,outside,38287,bottom,17.39722222,outside_bottom,,MOHK,outside,38555,bottom,15.64236111,outside_bottom
AQUE,outside,38288,bottom,17.37125,outside_bottom,,MOHK,outside,38556,bottom,15.44277778,outside_bottom
AQUE,outside,38289,bottom,16.44375,outside_bottom,,MOHK,outside,38557,bottom,16.415,outside_bottom
AQUE,outside,38290,bottom,17.07694444,outside_bottom,,MOHK,outside,38558,bottom,16.56333333,outside_bottom
AQUE,outside,38291,bottom,16.71144737,outside_bottom,,MOHK,outside,38559,bottom,17.15513889,outside_bottom
AQUE,outside,38292,bottom,17.57097222,outside_bottom,,MOHK,outside,38560,bottom,16.78402778,outside_bottom
AQUE,outside,38293,bottom,17.37430556,outside_bottom,,MOHK,outside,38561,bottom,16.32430556,outside_bottom
AQUE,outside,38294,bottom,17.22597222,outside_bottom,,MOHK,outside,38562,bottom,15.75833333,outside_bottom
AQUE,outside,38295,bottom,16.82777778,outside_bottom,,MOHK,outside,38563,bottom,15.61583333,outside_bottom
AQUE,outside,38296,bottom,17.05833333,outside_bottom,,MOHK,outside,38564,bottom,15.13861111,outside_bottom
AQUE,outside,38297,bottom,16.95875,outside_bottom,,MOHK,outside,38565,bottom,14.96958333,outside_bottom
AQUE,outside,38298,bottom,17.14625,outside_bottom,,MOHK,outside,38566,bottom,15.29569444,outside_bottom
AQUE,outside,38299,bottom,16.94347222,outside_bottom,,MOHK,outside,38567,bottom,16.365,outside_bottom
AQUE,outside,38300,bottom,16.74444444,outside_bottom,,MOHK,outside,38568,bottom,16.34180556,outside_bottom
AQUE,outside,38301,bottom,15.84486111,outside_bottom,,MOHK,outside,38569,bottom,16.17,outside_bottom
AQUE,outside,38302,bottom,14.90694444,outside_bottom,,MOHK,outside,38570,bottom,16.58652778,outside_bottom
AQUE,outside,38303,bottom,14.73277778,outside_bottom,,MOHK,outside,38571,bottom,16.70388889,outside_bottom
AQUE,outside,38304,bottom,15.17125,outside_bottom,,MOHK,outside,38575,bottom,14.23458333,outside_bottom
AQUE,outside,38305,bottom,15.58861111,outside_bottom,,MOHK,outside,38576,bottom,14.66166667,outside_bottom
AQUE,outside,38306,bottom,14.70152778,outside_bottom,,MOHK,outside,38577,bottom,14.91986111,outside_bottom
AQUE,outside,38307,bottom,14.55,outside_bottom,,MOHK,outside,38578,bottom,14.85569444,outside_bottom
AQUE,outside,38308,bottom,14.63805556,outside_bottom,,MOHK,outside,38579,bottom,15.25152778,outside_bottom
AQUE,outside,38309,bottom,14.99375,outside_bottom,,MOHK,outside,38580,bottom,15.69041667,outside_bottom
AQUE,outside,38310,bottom,15.29847222,outside_bottom,,MOHK,outside,38581,bottom,16.21902778,outside_bottom
AQUE,outside,38311,bottom,15.63458333,outside_bottom,,MOHK,outside,38582,bottom,16.00361111,outside_bottom
AQUE,outside,38312,bottom,15.70722222,outside_bottom,,MOHK,outside,38583,bottom,16.36375,outside_bottom
AQUE,outside,38313,bottom,16.04305556,outside_bottom,,MOHK,outside,38584,bottom,16.86166667,outside_bottom
AQUE,outside,38314,bottom,16.03569444,outside_bottom,,MOHK,outside,38585,bottom,16.76791667,outside_bottom
AQUE,outside,38315,bottom,16.00833333,outside_bottom,,MOHK,outside,38586,bottom,16.34361111,outside_bottom
AQUE,outside,38316,bottom,15.65763889,outside_bottom,,MOHK,outside,38587,bottom,15.88013889,outside_bottom
