site,location,date,column_position,temp_c,category
AQUE,outside,8/11/04,bottom,15.23222222,outside_bottom
AQUE,outside,8/12/04,bottom,13.82611111,outside_bottom
AQUE,outside,8/13/04,bottom,13.84791667,outside_bottom
AQUE,outside,8/14/04,bottom,13.71597222,outside_bottom
AQUE,outside,8/15/04,bottom,13.96972222,outside_bottom
AQUE,outside,8/16/04,bottom,14.175,outside_bottom
AQUE,outside,8/17/04,bottom,14.87875,outside_bottom
AQUE,outside,8/18/04,bottom,15.27152778,outside_bottom
AQUE,outside,8/19/04,bottom,15.13111111,outside_bottom
AQUE,outside,8/20/04,bottom,15.59055556,outside_bottom
AQUE,outside,8/21/04,bottom,15.62527778,outside_bottom
AQUE,outside,8/22/04,bottom,15.56638889,outside_bottom
AQUE,outside,8/23/04,bottom,15.47291667,outside_bottom
AQUE,outside,8/24/04,bottom,15.47527778,outside_bottom
AQUE,outside,8/25/04,bottom,15.29180556,outside_bottom
AQUE,outside,8/26/04,bottom,15.32222222,outside_bottom
AQUE,outside,8/27/04,bottom,15.16013889,outside_bottom
AQUE,outside,8/28/04,bottom,15.61583333,outside_bottom
AQUE,outside,8/29/04,bottom,15.64861111,outside_bottom
AQUE,outside,8/30/04,bottom,16.22722222,outside_bottom
AQUE,outside,8/31/04,bottom,16.26041667,outside_bottom
AQUE,outside,9/1/04,bottom,14.93361111,outside_bottom
AQUE,outside,9/2/04,bottom,14.46402778,outside_bottom
AQUE,outside,9/3/04,bottom,15.43236111,outside_bottom
AQUE,outside,9/4/04,bottom,14.67097222,outside_bottom
AQUE,outside,9/5/04,bottom,15.56597222,outside_bottom
AQUE,outside,9/6/04,bottom,17.22486111,outside_bottom
AQUE,outside,9/7/04,bottom,17.00847222,outside_bottom
AQUE,outside,9/8/04,bottom,18.05972222,outside_bottom
AQUE,outside,9/9/04,bottom,18.49375,outside_bottom
AQUE,outside,9/10/04,bottom,18.74763889,outside_bottom
AQUE,outside,9/11/04,bottom,17.95694444,outside_bottom
AQUE,outside,9/12/04,bottom,17.58263889,outside_bottom
AQUE,outside,9/13/04,bottom,17.04930556,outside_bottom
AQUE,outside,9/14/04,bottom,17.82208333,outside_bottom
AQUE,outside,9/15/04,bottom,16.245,outside_bottom
AQUE,outside,9/16/04,bottom,17.05805556,outside_bottom
AQUE,outside,9/17/04,bottom,18.08611111,outside_bottom
AQUE,outside,9/18/04,bottom,16.96194444,outside_bottom
AQUE,outside,9/19/04,bottom,14.59625,outside_bottom
AQUE,outside,9/20/04,bottom,12.25402778,outside_bottom
AQUE,outside,9/21/04,bottom,12.54097222,outside_bottom
AQUE,outside,9/22/04,bottom,15.37583333,outside_bottom
AQUE,outside,9/23/04,bottom,15.24916667,outside_bottom
AQUE,outside,9/24/04,bottom,14.75555556,outside_bottom
AQUE,outside,9/25/04,bottom,15.81527778,outside_bottom
AQUE,outside,9/26/04,bottom,16.99777778,outside_bottom
AQUE,outside,9/27/04,bottom,15.55472222,outside_bottom
AQUE,outside,9/28/04,bottom,15.25430556,outside_bottom
AQUE,outside,9/29/04,bottom,15.31680556,outside_bottom
AQUE,outside,9/30/04,bottom,15.52375,outside_bottom
AQUE,outside,10/1/04,bottom,16.09472222,outside_bottom
AQUE,outside,10/2/04,bottom,16.13722222,outside_bottom
AQUE,outside,10/3/04,bottom,15.49694444,outside_bottom
AQUE,outside,10/4/04,bottom,14.97305556,outside_bottom
AQUE,outside,10/5/04,bottom,16.09083333,outside_bottom
AQUE,outside,10/6/04,bottom,15.77777778,outside_bottom
AQUE,outside,10/7/04,bottom,16.04222222,outside_bottom
AQUE,outside,10/8/04,bottom,17.32041667,outside_bottom
AQUE,outside,10/9/04,bottom,16.87041667,outside_bottom
AQUE,outside,10/10/04,bottom,15.81416667,outside_bottom
AQUE,outside,10/11/04,bottom,16.93361111,outside_bottom
AQUE,outside,10/12/04,bottom,16.66194444,outside_bottom
AQUE,outside,10/13/04,bottom,16.64777778,outside_bottom
AQUE,outside,10/14/04,bottom,17.17361111,outside_bottom
AQUE,outside,10/15/04,bottom,17.25319444,outside_bottom
AQUE,outside,10/16/04,bottom,16.42097222,outside_bottom
AQUE,outside,10/17/04,bottom,17.86805556,outside_bottom
AQUE,outside,10/18/04,bottom,16.98944444,outside_bottom
AQUE,outside,10/19/04,bottom,17.34986111,outside_bottom
AQUE,outside,10/20/04,bottom,17.62888889,outside_bottom
AQUE,outside,10/21/04,bottom,17.17236111,outside_bottom
AQUE,outside,10/22/04,bottom,17.39,outside_bottom
AQUE,outside,10/23/04,bottom,17.48916667,outside_bottom
AQUE,outside,10/24/04,bottom,17.70402778,outside_bottom
AQUE,outside,10/25/04,bottom,17.61138889,outside_bottom
AQUE,outside,10/26/04,bottom,16.94097222,outside_bottom
AQUE,outside,10/27/04,bottom,17.39722222,outside_bottom
AQUE,outside,10/28/04,bottom,17.37125,outside_bottom
AQUE,outside,10/29/04,bottom,16.44375,outside_bottom
AQUE,outside,10/30/04,bottom,17.07694444,outside_bottom
